"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","plot_label"
"ENSG00000176204",936.322439000393,-3.84557349776074,0.984857082473207,4.57306213685057e-08,0.00137118695111327,"LRRTM4","80059","LRRTM4"
"ENSG00000159217",8.15707337277408,2.89763897011695,0.64012749966713,1.486074965837e-07,0.00222792358878283,"IGF2BP1","10642","IGF2BP1"
"ENSG00000234653",119.588905530475,-3.55651258778792,1.53866501893236,2.79447064752014e-07,0.0027929802631748,"LRRTM4-AS1","101927907","LRRTM4-AS1"
"ENSG00000226057",91.3835459814822,2.66821447683122,0.742203093246947,9.99420343061396e-07,0.00749165489158823,NA,NA,"ENSG00000226057"
"ENSG00000167749",6.12435623163632,2.40886911602146,0.741701181924325,2.13087608553543e-06,0.0127784377097389,"KLK4","9622","KLK4"
"ENSG00000115414",25447.9382921212,1.85209445452471,0.588379550746212,3.89545680376253e-06,0.0167195967012662,"FN1","2335","FN1"
"ENSG00000211642",5.96927068530602,2.47247136543878,1.6892161158097,3.90332100149625e-06,0.0167195967012662,"IGLV10-54","28772","IGLV10-54"
"ENSG00000151388",1105.60386925678,1.51524673143782,0.503600545737662,5.24507533463801e-06,0.0189037550292972,"ADAMTS12","81792","ADAMTS12"
"ENSG00000164932",622.517287388622,1.68690416253887,0.581630577541648,5.67415272357508e-06,0.0189037550292972,"CTHRC1","115908","CTHRC1"
"ENSG00000172061",1437.77874540033,1.78689765326811,0.759147418082135,1.01795745912873e-05,0.0251996205353369,"LRRC15","131578","LRRC15"
"ENSG00000258636",3.96892758510598,1.62698934789761,0.686809339147903,1.09256625853582e-05,0.0251996205353369,"LOC124907392","124907392","LOC124907392"
"ENSG00000267013",14.9511261661775,1.92580134082813,0.949280663404262,1.28732817735201e-05,0.0275708914783733,"LINC01929","101927229","LINC01929"
"ENSG00000137673",292.389332010737,1.88111948149763,0.990987399474606,1.53452296493979e-05,0.0302260868880487,"MMP7","4316","MMP7"
"ENSG00000173391",51.9317772825448,1.61694929749278,0.789348585466044,1.61291819039748e-05,0.0302260868880487,"OLR1","4973","OLR1"
"ENSG00000184351",5.59205100046398,1.91548289191973,1.14190621021295,1.7692126747706e-05,0.031204748729601,"KRTAP19-1","337882","KRTAP19-1"
"ENSG00000087116",1685.1670332461,1.2941422145501,0.686028335417289,2.23694111275246e-05,0.0342171576578081,"ADAMTS2","9509","ADAMTS2"
"ENSG00000104415",404.241305326648,1.43434718345481,0.825634982625425,2.6247152685752e-05,0.0342171576578081,"CCN4","8840","CCN4"
"ENSG00000120337",12.1980484763065,1.55246857674658,0.90985667031154,2.5438861693024e-05,0.0342171576578081,"TNFSF18","8995","TNFSF18"
"ENSG00000124260",13.250326329,1.81430551407011,1.33327145557641,2.35349854786389e-05,0.0342171576578081,"MAGEA10","4109","MAGEA10"
"ENSG00000133110",14319.3379348112,1.43568256145501,0.751570647703438,2.08751799997404e-05,0.0342171576578081,"POSTN","10631","POSTN"
"ENSG00000161634",1272.38087478773,1.69062587136701,1.54303481762937,2.40313120044784e-05,0.0342171576578081,"DCD","117159","DCD"
"ENSG00000099953",698.417521524256,1.54312701828679,1.04100461026847,3.31566534516476e-05,0.039232084506396,"MMP11","4320","MMP11"
"ENSG00000148848",854.585856379607,1.26537869388803,0.773835119994279,3.22601055315252e-05,0.039232084506396,"ADAM12","8038","ADAM12"
"ENSG00000156687",21.8817537407984,1.47790455550042,0.976975238716221,3.40192835234224e-05,0.039232084506396,"UNC5D","137970","UNC5D"
"ENSG00000078098",902.477871892853,1.18125415997483,0.766845416910509,3.7994710467283e-05,0.0413340721211483,"FAP","2191","FAP"
"ENSG00000234703",4.54040143291346,1.42005267493,0.98101482290233,3.8599053474925e-05,0.0413340721211483,NA,NA,"ENSG00000234703"
"ENSG00000171951",24.7030001076603,1.22842598856548,0.885830656263139,4.74966470561682e-05,0.0491082574252465,"SCG2","7857","SCG2"
