"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004222","metalloendopeptidase activity","5/20","94/15730",9.88504443725145e-08,2.5198620757217e-06,1.1287176151049e-06,"ADAMTS12/MMP7/ADAMTS2/MMP11/ADAM12",5
"GO:0004175","endopeptidase activity","7/20","332/15730",1.07228173434966e-07,2.5198620757217e-06,1.1287176151049e-06,"KLK4/ADAMTS12/MMP7/ADAMTS2/MMP11/ADAM12/FAP",7
"GO:0008237","metallopeptidase activity","5/20","164/15730",1.58313834120204e-06,2.48025006788319e-05,1.11097427452775e-05,"ADAMTS12/MMP7/ADAMTS2/MMP11/ADAM12",5
"GO:0004252","serine-type endopeptidase activity","4/20","141/15730",2.68087479880796e-05,0.000315002788859935,0.000141098673621472,"KLK4/MMP7/MMP11/FAP",4
"GO:0008236","serine-type peptidase activity","4/20","158/15730",4.18813596649475e-05,0.000361737708995311,0.000162032568418952,"KLK4/MMP7/MMP11/FAP",4
"GO:0017171","serine hydrolase activity","4/20","162/15730",4.61792819994014e-05,0.000361737708995311,0.000162032568418952,"KLK4/MMP7/MMP11/FAP",4
"GO:0005178","integrin binding","3/20","148/15730",0.000827323537511873,0.00484777685040553,0.00217145659592633,"FN1/CCN4/FAP",3
"GO:0005201","extracellular matrix structural constituent","3/20","149/15730",0.000843639289607082,0.00484777685040553,0.00217145659592633,"FN1/CTHRC1/POSTN",3
"GO:0008201","heparin binding","3/20","154/15730",0.000928297694758506,0.00484777685040553,0.00217145659592633,"FN1/CCN4/POSTN",3
"GO:0005539","glycosaminoglycan binding","3/20","210/15730",0.00226127236014515,0.0106279800926822,0.00476057338977925,"FN1/CCN4/POSTN",3
"GO:0005518","collagen binding","2/20","65/15730",0.00304484500890926,0.0130097923107941,0.00582745456250577,"FN1/LRRC15",2
"GO:1901681","sulfur compound binding","3/20","245/15730",0.00349762161754416,0.013699018002048,0.00613617827639327,"FN1/CCN4/POSTN",3
"GO:0002020","protease binding","2/20","134/15730",0.0123784341181127,0.0424532692131094,0.019016022043946,"FN1/FAP",2
"GO:0008239","dipeptidyl-peptidase activity","1/20","10/15730",0.0126456546592241,0.0424532692131094,0.019016022043946,"FAP",1
"GO:1990247","N6-methyladenosine-containing RNA binding","1/20","11/15730",0.0139018306711081,0.0435590694361386,0.0195113412927832,"IGF2BP1",1
